,_id,Thành phố,Diện tích,Đường trước nhà,Mặt tiền,Số tầng,Số toilet,Số phòng ngủ,Loại,Hướng,Mức giá
12556,67483abea2187cd9d808c6a5,hưng yên,56.0,,,,2.0,2.0,CC,Đ,3.4
12557,67483abea2187cd9d808c6a6,hà nội,67.0,,,,2.0,2.0,CC,ĐN,4.5
12558,67483abea2187cd9d808c6a7,hồ chí minh,101.5,,,,2.0,3.0,CC,,6.7
12559,67483abea2187cd9d808c6a8,hồ chí minh,161.0,,,,4.0,3.0,CC,,3.05
12560,67483abea2187cd9d808c6a9,hà nội,84.0,,,,2.0,3.0,CC,,5.75
12561,67483abea2187cd9d808c6aa,hưng yên,83.0,,,,2.0,2.0,CC,,2.95
12562,67483abea2187cd9d808c6ab,hà nội,86.0,,,,2.0,3.0,CC,,6.4
12563,67483abea2187cd9d808c6ac,hà nội,96.0,,,,2.0,3.0,CC,TB,5.2
12564,67483abea2187cd9d808c6ad,đà nẵng,62.0,,,,1.0,2.0,CC,Đ,
12565,67483abea2187cd9d808c6ae,đà nẵng,109.0,,,,2.0,2.0,CC,ĐN,
12566,67483abea2187cd9d808c6af,bà rịa vũng tàu,74.0,,,,2.0,2.0,CC,,2.8
12567,67483abea2187cd9d808c6b0,hà nội,65.1,,,,2.0,2.0,CC,,2.45
12568,67483abea2187cd9d808c6b1,đà nẵng,60.0,,,,1.0,1.0,CC,ĐN,
12569,67483abea2187cd9d808c6b2,hồ chí minh,130.0,,,,3.0,3.0,CC,,24.0
12570,67483abea2187cd9d808c6b3,hà nội,86.5,,,,2.0,3.0,CC,,6.6
12571,67483abea2187cd9d808c6b4,hồ chí minh,57.0,,,,1.0,1.0,CC,,1.5
12572,67483abea2187cd9d808c6b5,hồ chí minh,58.0,,,,1.0,2.0,CC,,2.45
12573,67483abea2187cd9d808c6b6,đà nẵng,65.0,,,,2.0,2.0,CC,Đ,
12574,67483abea2187cd9d808c6b7,hồ chí minh,161.0,,,,3.0,4.0,CC,,11.5
12575,67483abea2187cd9d808c6b8,hồ chí minh,135.0,,,,2.0,3.0,CC,ĐN,11.6
12576,67483abea2187cd9d808c6b9,hồ chí minh,80.0,,,,2.0,2.0,CC,TB,7.7
12577,67483abea2187cd9d808c6ba,hồ chí minh,60.0,,,,1.0,2.0,CC,,3.95
12578,67483abea2187cd9d808c6bb,hồ chí minh,78.0,,,,2.0,2.0,CC,ĐB,5.3
12579,67483abea2187cd9d808c6bc,hồ chí minh,90.0,,,,2.0,2.0,CC,ĐB,12.8
12580,67483abea2187cd9d808c6bd,hồ chí minh,82.0,,,,2.0,2.0,CC,TB,8.0
12581,67483abea2187cd9d808c6be,hà nội,55.0,,,,2.0,2.0,CC,,2.3
12582,67483abea2187cd9d808c6bf,đà nẵng,80.0,,,,2.0,2.0,CC,ĐB,4.4
12583,67483abea2187cd9d808c6c0,quảng ninh,71.5,,,,2.0,2.0,CC,N,1.65
12584,67483abea2187cd9d808c6c1,bình dương,74.0,,,,2.0,2.0,CC,,2.5
12585,67483abea2187cd9d808c6c2,bình dương,60.0,,,,1.0,2.0,CC,,1.48
12586,67483abea2187cd9d808c6c3,hồ chí minh,81.0,,,,2.0,2.0,CC,,3.6
12587,67483abea2187cd9d808c6c4,hà nội,96.0,,,,2.0,3.0,CC,ĐB,
12588,67483abea2187cd9d808c6c5,hà nội,92.0,,,,2.0,2.0,CC,,
12589,67483abea2187cd9d808c6c6,bình dương,37.0,,,,1.0,1.0,CC,,1.15
12590,67483abea2187cd9d808c6c7,hà nội,68.0,,,,2.0,2.0,CC,,2.98
12591,67483abea2187cd9d808c6c8,hồ chí minh,97.0,,,,2.0,3.0,CC,N,7.4
12592,67483abea2187cd9d808c6c9,hồ chí minh,121.0,,,,2.0,3.0,CC,TN,9.7
12593,67483abea2187cd9d808c6ca,hà nội,47.0,,,,1.0,1.0,CC,,2.28
12594,67483abea2187cd9d808c6cb,hà nội,72.0,,,,2.0,2.0,CC,TB,
12595,67483abea2187cd9d808c6cc,hà nội,81.6,,,,2.0,2.0,CC,TN,5.9
12596,67483abea2187cd9d808c6cd,hà nội,80.0,,,,2.0,2.0,CC,TN,
12597,67483abea2187cd9d808c6ce,hà nội,47.0,,,,1.0,1.0,CC,,2.2
12598,67483abea2187cd9d808c6cf,hà nội,69.2,,,,2.0,2.0,CC,,3.3
12599,67483abea2187cd9d808c6d0,hưng yên,60.0,,,,,,CC,ĐB,3.25
12600,67483abea2187cd9d808c6d1,hà nội,120.0,,,,3.0,3.0,CC,,
12601,67483abea2187cd9d808c6d2,hà nội,141.0,,,,3.0,4.0,CC,ĐN,11.0
12602,67483abea2187cd9d808c6d3,hà nội,105.0,,,,2.0,3.0,CC,B,6.09
12603,67483abea2187cd9d808c6d4,bình dương,85.0,,,,2.0,2.0,CC,ĐN,3.0
12604,67483abea2187cd9d808c6d5,đà nẵng,50.0,,,,1.0,1.0,CC,,
12605,67483abea2187cd9d808c6d6,hà nội,55.0,,,,1.0,2.0,CC,ĐB,3.3
12606,67483abea2187cd9d808c6d7,hà nội,70.0,,,,2.0,2.0,CC,Đ,
12607,67483abea2187cd9d808c6d8,đà nẵng,84.0,,,,2.0,2.0,CC,,
12608,67483abea2187cd9d808c6d9,hà nội,53.5,,,,2.0,2.0,CC,,2.7
12609,67483abea2187cd9d808c6da,hồ chí minh,85.0,,,,2.0,2.0,CC,,13.9
12610,67483abea2187cd9d808c6db,đà nẵng,52.0,,,,2.0,1.0,CC,T,3.6
12611,67483abea2187cd9d808c6dc,hà nội,141.0,,,,3.0,4.0,CC,TB,8.0
12612,67483abea2187cd9d808c6dd,hà nội,153.0,,,,3.0,3.0,CC,TB,8.69
12613,67483abea2187cd9d808c6de,hà nội,159.0,,,,3.0,3.0,CC,TB,10.18
12614,67483abea2187cd9d808c6df,bình dương,56.0,,,,1.0,2.0,CC,ĐN,1.7
12615,67483abea2187cd9d808c6e0,hồ chí minh,69.0,,,,2.0,2.0,CC,,3.98
12616,67483abea2187cd9d808c6e1,hà nội,128.0,,,,,,CC,,7.2
12617,67483abea2187cd9d808c6e2,đà nẵng,83.99,,,,2.0,2.0,CC,N,9.4
12618,67483abea2187cd9d808c6e3,hồ chí minh,62.0,,,,2.0,2.0,CC,,1.55
12619,67483abea2187cd9d808c6e4,hồ chí minh,124.0,,,,2.0,3.0,CC,ĐB,8.5
12620,67483abea2187cd9d808c6e5,đà nẵng,75.5,,,,2.0,2.0,CC,Đ,8.76
12621,67483abea2187cd9d808c6e6,đà nẵng,51.3,,,,1.0,1.0,CC,ĐN,5.2
12622,67483abea2187cd9d808c6e7,hồ chí minh,53.0,,,,2.0,2.0,CC,,1.89
12623,67483abea2187cd9d808c6e8,hồ chí minh,87.0,,,,2.0,2.0,CC,,3.3
12624,67483abea2187cd9d808c6e9,hà nội,160.0,,,,2.0,3.0,CC,ĐN,8.0
12625,67483abea2187cd9d808c6ea,bình dương,75.0,,,,2.0,2.0,CC,,2.7
12626,67483abea2187cd9d808c6eb,hà nội,70.0,,,,2.0,2.0,CC,,3.15
12627,67483abea2187cd9d808c6ec,hà nội,105.0,,,,2.0,3.0,CC,,8.2
12628,67483abea2187cd9d808c6ed,hà nội,114.0,,,,,3.0,CC,,7.8
12629,67483abea2187cd9d808c6ee,hà nội,80.7,,,,2.0,3.0,CC,,4.5
12630,67483abea2187cd9d808c6ef,hà nội,81.6,,,,2.0,3.0,CC,,4.92
12631,67483abea2187cd9d808c6f0,hồ chí minh,70.0,,,,2.0,2.0,CC,,4.15
12632,67483abea2187cd9d808c6f1,hà nội,95.0,,,,2.0,3.0,CC,,8.15
12633,67483abea2187cd9d808c6f2,hà nội,100.0,,,,2.0,3.0,CC,,7.0
12634,67483abea2187cd9d808c6f3,hà nội,106.0,,,,2.0,3.0,CC,TB,5.0
12635,67483abea2187cd9d808c6f4,hồ chí minh,190.0,,,,3.0,3.0,CC,B,7.0
12636,67483abea2187cd9d808c6f5,hà nam,45.0,,,,,1.0,CC,,
12637,67483abea2187cd9d808c6f6,quảng ninh,68.0,,,,2.0,2.0,CC,,1.95
12638,67483abea2187cd9d808c6f7,hồ chí minh,102.0,,,,2.0,3.0,CC,,5.72
12639,67483abea2187cd9d808c6f8,đà nẵng,50.0,,,,1.0,1.0,CC,,2.5
12640,67483abea2187cd9d808c6f9,hồ chí minh,70.0,,,,2.0,2.0,CC,,4.75
12641,67483abea2187cd9d808c6fa,hà nội,73.0,,,,1.0,2.0,CC,,5.32
12642,67483abea2187cd9d808c6fb,hà nội,70.0,,,,2.0,2.0,CC,,4.5
12643,67483abea2187cd9d808c6fc,hồ chí minh,138.0,,,,2.0,4.0,CC,ĐN,14.9
12644,67483abea2187cd9d808c6fd,hồ chí minh,73.0,,,,2.0,2.0,CC,,2.35
12645,67483abea2187cd9d808c6fe,hà nội,58.0,,,,1.0,2.0,CC,N,3.7
12646,67483abea2187cd9d808c6ff,hồ chí minh,123.0,,,,2.0,3.0,CC,ĐN,13.9
12647,67483abea2187cd9d808c700,đà nẵng,80.0,,,,2.0,2.0,CC,ĐN,
12648,67483abea2187cd9d808c701,hà nội,32.0,,,,1.0,1.0,CC,TN,2.26
12649,67483abea2187cd9d808c702,hồ chí minh,85.0,,,,2.0,3.0,CC,,5.4
12650,67483abea2187cd9d808c703,hồ chí minh,84.0,,,,2.0,3.0,CC,,4.4
12651,67483abea2187cd9d808c704,bình dương,55.0,,,,2.0,2.0,CC,Đ,2.0
12652,67483abea2187cd9d808c705,hồ chí minh,117.0,,,,2.0,3.0,CC,ĐN,7.2
12653,67483abea2187cd9d808c706,hưng yên,75.0,,,,2.0,2.0,CC,ĐN,3.5
12654,67483abea2187cd9d808c707,hải phòng,77.0,,,,2.0,3.0,CC,TN,
12655,67483abea2187cd9d808c708,hà nội,142.0,,,,2.0,3.0,CC,TB,
12656,67483abea2187cd9d808c709,hồ chí minh,107.0,,,,2.0,3.0,CC,,9.25
12657,67483abea2187cd9d808c70a,hà nội,93.0,,,,2.0,3.0,CC,,8.8
12658,67483abea2187cd9d808c70b,hồ chí minh,98.0,,,,2.0,3.0,CC,ĐN,7.8
12659,67483abea2187cd9d808c70c,hồ chí minh,73.0,,,,2.0,2.0,CC,ĐN,5.4
